name,position,shirt_no
Hugo Sotelo,Central Midfield,30
Williot Swedberg,Attacking Midfield,19
Jonathan Bamba,Left Winger,17
Franco Cervi,Left Winger,11
Hugo Álvarez,Left Winger,33
Tadeo Allende,Right Winger,9
Carles Pérez,Right Winger,7
Miguel Rodríguez,Right Winger,24
Jørgen Strand Larsen,Centre-Forward,18
Anastasios Douvikas,Centre-Forward,12
Iago Aspas,Centre-Forward,10
Sergio Herrera,Goalkeeper,1
Aitor Fernández,Goalkeeper,13
David García,Centre-Back,5
Alejandro Catena,Centre-Back,24
Unai García,Centre-Back,4
Jorge Herrando,Centre-Back,28
Juan Cruz,Left-Back,3
Johan Mojica,Left-Back,22
Jesús Areso,Right-Back,12
Rubén Peña,Right-Back,15
Lucas Torró,Defensive Midfield,6
Iker Muñoz,Defensive Midfield,34
Jon Moncayola,Central Midfield,7
Pablo Ibáñez,Central Midfield,19
Aimar Oroz,Attacking Midfield,10
Moi Gómez,Left Winger,16
Rubén García,Left Winger,14
José Manuel Arnáiz,Left Winger,20
Kike Barja,Right Winger,11
Ante Budimir,Centre-Forward,17
Raúl García,Centre-Forward,23
Antonio Sivera,Goalkeeper,1
Jesús Owono,Goalkeeper,31
Rafa Marín,Centre-Back,16
Abdel Abqar,Centre-Back,5
Aleksandar Sedlar,Centre-Back,4
Javi López,Left-Back,27
Rubén Duarte,Left-Back,3
Andoni Gorosabel,Right-Back,2
Nahuel Tenaglia,Right-Back,14
Antonio Blanco,Defensive Midfield,8
Carlos Benavidez,Defensive Midfield,23
Ander Guevara,Central Midfield,6
Jon Guridi,Central Midfield,18
Ianis Hagi,Attacking Midfield,10
Luis Rioja,Left Winger,11
Abde Rebbach,Left Winger,21
Álex Sola,Right Winger,7
Carlos Vicente,Right Winger,22
Xeber Alkain,Right Winger,17
Samu Omorodion,Centre-Forward,32
Giuliano Simeone,Centre-Forward,20
Kike García,Centre-Forward,15
Álvaro Valles,Goalkeeper,13
Aarón Escandell,Goalkeeper,1
Mika Mármol,Centre-Back,15
Saúl Coco,Centre-Back,23
Alex Suárez,Centre-Back,4
Juanma Herzog,Centre-Back,31
Eric Curbelo,Centre-Back,6
Sergi Cardona,Left-Back,3
Daley Sinkgraven,Left-Back,18
Julián Araujo,Right-Back,28
Álvaro Lemos,Right-Back,14
Máximo Perrone,Defensive Midfield,8
Nuke Mfulu,Defensive Midfield,22
Enzo Loiodice,Central Midfield,12
Javi Muñoz,Central Midfield,5
José Campaña,Central Midfield,21
Fabio González,Central Midfield,25
Kirian Rodríguez,Attacking Midfield,20
Alberto Moleiro,Attacking Midfield,10
Pejiño,Left Winger,24
Benito Ramírez,Left Winger,11
Marvin Park,Right Winger,2
Munir El Haddadi,Right Winger,17
Sory Kaba,Centre-Forward,16
Sandro Ramírez,Centre-Forward,9
Marc Cardona,Centre-Forward,19
Cristian Herrera,Centre-Forward,7
David Soria,Goalkeeper,13
Daniel Fuzato,Goalkeeper,1
Gastón Álvarez,Centre-Back,4
Djené,Centre-Back,2
Domingos Duarte,Centre-Back,6
Omar Alderete,Centre-Back,15
Diego Rico,Left-Back,16
Fabrizio Angileri,Left-Back,3
José Ángel Carmona,Right-Back,18
Juan Iglesias,Right-Back,21
Mauro Arambarri,Central Midfield,8
Nemanja Maksimovic,Central Midfield,20
Luis Milla,Central Midfield,5
Carles Aleñá,Central Midfield,11
Ilaix Moriba,Central Midfield,24
Yellu Santiago,Central Midfield,25
Óscar Rodríguez,Attacking Midfield,9
Jordi Martín,Left Winger,32
Mason Greenwood,Right Winger,12
Borja Mayoral,Centre-Forward,19
Juanmi Latasa,Centre-Forward,14
Jaime Mata,Centre-Forward,7
Augusto Batalla,Goalkeeper,25
Marc Martínez,Goalkeeper,13
Raúl Fernández,Goalkeeper,1
Bruno Méndez,Centre-Back,2
Kamil Piatkowski,Centre-Back,22
Raúl Torrente,Centre-Back,28
Jesús Vallejo,Centre-Back,5
Ignasi Miquel,Centre-Back,14
Miguel Rubio,Centre-Back,4
Faitout Maouassa,Left-Back,3
Carlos Neva,Left-Back,15
Ricard Sánchez,Right-Back,12
Víctor Díaz,Right-Back,16
Gerard Gumbau,Defensive Midfield,23
Martin Hongla,Defensive Midfield,6
Gonzalo Villar,Central Midfield,24
Sergio Ruiz,Central Midfield,20
Óscar Melendo,Attacking Midfield,21
Myrto Uzuni,Left Winger,11
Kamil Jóźwiak,Left Winger,18
Facundo Pellistri,Right Winger,19
Antonio Puertas,Right Winger,10
Theo Corbeanu,Right Winger,17
José Callejón,Right Winger,9
Matías Arezo,Centre-Forward,8
Lucas Boyé,Centre-Forward,7
Predrag Rajkovic,Goalkeeper,1
Dominik Greif,Goalkeeper,13
Iván Cuéllar,Goalkeeper,25
Martin Valjent,Centre-Back,24
Siebe Van der Heyden,Centre-Back,4
José Copete,Centre-Back,6
Antonio Raíllo,Centre-Back,21
Matija Nastasic,Centre-Back,2
Toni Lato,Left-Back,3
Jaume Costa,Left-Back,11
Pablo Maffeo,Right-Back,15
Giovanni González,Right-Back,20
Nacho Vidal,Right-Back,22
Samú Costa,Defensive Midfield,12
Omar Mascarell,Defensive Midfield,5
Sergi Darder,Central Midfield,10
Manu Morlanes,Central Midfield,8
Antonio Sánchez,Central Midfield,18
Dani Rodríguez,Attacking Midfield,14
Nemanja Radonjic,Left Winger,23
Javi Llabrés,Left Winger,19
Vedat Muriqi,Centre-Forward,7
Cyle Larin,Centre-Forward,17
Abdón Prats,Centre-Forward,9
Luís Maximiano,Goalkeeper,25
Fernando Martínez,Goalkeeper,13
Diego Mariño,Goalkeeper,1
Edgar González,Centre-Back,3
César Montes,Centre-Back,22
Chumi,Centre-Back,21
Aleksandar Radovanovic,Centre-Back,16
Bruno Langa,Left-Back,24
Álex Centelles,Left-Back,20
Marc Pubill,Right-Back,18
Alejandro Pozo,Right-Back,17
Dion Lopy,Defensive Midfield,6
Lucas Robertone,Central Midfield,5
Iddrisu Baba,Central Midfield,4
Gonzalo Melero,Central Midfield,11
Sergio Arribas,Attacking Midfield,19
Jonathan Viera,Attacking Midfield,8
Largie Ramazani,Left Winger,7
Luka Romero,Right Winger,38
Adrián Embarba,Right Winger,10
Luis Suárez,Centre-Forward,9
Ibrahima Koné,Centre-Forward,23
Léo Baptistão,Centre-Forward,12
Choco Lozano,Centre-Forward,15
