name,position,shirt_no
Eren Dinkçi,Right Winger,8
Nikola Dovedan,Second Striker,20
Tim Kleindienst,Centre-Forward,10
Marvin Pieringer,Centre-Forward,18
Stefan Schimmer,Centre-Forward,9
Christian Kühlwetter,Centre-Forward,24
Elidon Qenaj,Centre-Forward,44
Marcel Schuhen,Goalkeeper,1
Alexander Brunst,Goalkeeper,30
Morten Behrens,Goalkeeper,13
Max Wendt,Goalkeeper,45
Christoph Klarer,Centre-Back,14
Matej Maglica,Centre-Back,5
Clemens Riedel,Centre-Back,38
Christoph Zimmermann,Centre-Back,4
Jannik Müller,Centre-Back,20
Thomas Isherwood,Centre-Back,3
Emir Karic,Left-Back,19
Fabian Holland,Left-Back,32
Matthias Bader,Right-Back,26
Bartol Franjic,Defensive Midfield,28
Andreas Müller,Defensive Midfield,16
Klaus Gjasula,Defensive Midfield,23
Fabian Nürnberger,Central Midfield,15
Fabian Schnellhardt,Central Midfield,8
Tobias Kempe,Central Midfield,11
Marvin Mehlem,Attacking Midfield,6
Julian Justvan,Attacking Midfield,17
Gerrit Holtmann,Left Winger,25
Mathias Honsak,Left Winger,18
Tim Skarke,Right Winger,27
Oscar Vilhelmsson,Centre-Forward,29
Fraser Hornby,Centre-Forward,9
Braydon Manu,Centre-Forward,7
Luca Pfeiffer,Centre-Forward,24
Sebastian Polter,Centre-Forward,40
Aaron Seydel,Centre-Forward,22
Fabio Torsiello,Centre-Forward,42
