name,position,shirt_no
Gustav Isaksen,Right Winger,18
Felipe Anderson,Right Winger,7
Pedro,Right Winger,9
Cristiano Lombardi,Right Winger,87
Taty Castellanos,Centre-Forward,19
Ciro Immobile,Centre-Forward,17
Vanja Milinković-Savić,Goalkeeper,32
Mihai Popa,Goalkeeper,71
Luca Gemello,Goalkeeper,1
Pietro Passador,Goalkeeper,65
Alessandro Buongiorno,Centre-Back,4
Perr Schuurs,Centre-Back,3
Matteo Lovato,Centre-Back,6
Ricardo Rodríguez,Centre-Back,13
Saba Sazonov,Centre-Back,15
Koffi Djidji,Centre-Back,26
Adam Masina,Left-Back,5
Samuele Ricci,Defensive Midfield,28
Adrien Tamèze,Defensive Midfield,61
Ivan Ilić,Central Midfield,8
Karol Linetty,Central Midfield,77
Gvidas Gineitis,Central Midfield,66
Raoul Bellanova,Right Midfield,19
Valentino Lazaro,Left Midfield,20
Mërgim Vojvoda,Left Midfield,27
Nikola Vlasic,Attacking Midfield,16
Uros Kabic,Right Winger,17
Antonio Sanabria,Centre-Forward,9
Duván Zapata,Centre-Forward,91
Pietro Pellegri,Centre-Forward,11
David Okereke,Centre-Forward,21
Alessio Cragno,Goalkeeper,28
Andrea Consigli,Goalkeeper,47
Gianluca Pegolo,Goalkeeper,25
Marash Kumbulla,Centre-Back,19
Mattia Viti,Centre-Back,21
Martin Erlić,Centre-Back,5
Ruan Tressoldi,Centre-Back,44
Gian Marco Ferrari,Centre-Back,13
Josh Doig,Left-Back,43
Marcus Pedersen,Right-Back,3
Jeremy Toljan,Right-Back,22
Filippo Missori,Right-Back,2
Daniel Boloca,Defensive Midfield,24
Luca Lipani,Defensive Midfield,35
Uroš Račić,Defensive Midfield,6
Matheus Henrique,Central Midfield,7
Pedro Obiang,Central Midfield,14
Kristian Thorstvedt,Attacking Midfield,42
Nedim Bajrami,Attacking Midfield,11
Cristian Volpato,Attacking Midfield,23
Armand Laurienté,Left Winger,45
Emil Konradsen Ceide,Left Winger,15
Domenico Berardi,Right Winger,10
Samu Castillejo,Right Winger,20
Andrea Pinamonti,Centre-Forward,9
Samuele Mulattieri,Centre-Forward,8
Grégoire Defrel,Centre-Forward,92
Josep Martínez,Goalkeeper,1
Nicola Leali,Goalkeeper,16
Franz Stolz,Goalkeeper,99
Daniele Sommariva,Goalkeeper,39
Simone Calvani,Goalkeeper,38
Koni De Winter,Centre-Back,4
Johan Vásquez,Centre-Back,22
Alan Matturro,Centre-Back,33
Giorgio Cittadini,Centre-Back,23
Mattia Bani,Centre-Back,13
Alessandro Vogliacco,Centre-Back,14
Aarón Martín,Left-Back,3
Ridgeciano Haps,Left-Back,55
Djed Spence,Right-Back,90
Stefano Sabelli,Right-Back,20
Emil Bohinen,Defensive Midfield,5
Milan Badelj,Defensive Midfield,47
Morten Frendrup,Central Midfield,32
Morten Thorsby,Central Midfield,2
Kevin Strootman,Central Midfield,8
Ruslan Malinovskyi,Attacking Midfield,17
Junior Messias,Right Winger,10
Albert Gudmundsson,Second Striker,11
Mateo Retegui,Centre-Forward,19
Vitinha,Centre-Forward,9
David Ankeye,Centre-Forward,30
Caleb Ekuban,Centre-Forward,18
Maduka Okoye,Goalkeeper,40
Marco Silvestri,Goalkeeper,1
Daniele Padelli,Goalkeeper,93
Nehuén Pérez,Centre-Back,18
Jaka Bijol,Centre-Back,29
Thomas Kristensen,Centre-Back,31
Lautaro Giannetti,Centre-Back,30
Enzo Ebosse,Centre-Back,23
João Ferreira,Centre-Back,13
Christian Kabasele,Centre-Back,27
Antonio Tikvić,Centre-Back,16
James Abankwah,Centre-Back,14
Jordan Zemura,Left-Back,33
Hassane Kamara,Left-Back,12
Kingsley Ehizibue,Right-Back,19
Walace,Defensive Midfield,11
Lazar Samardžić,Central Midfield,24
Sandi Lovric,Central Midfield,4
Martín Payero,Central Midfield,32
Roberto Pereyra,Central Midfield,37
Oier Zarraga,Central Midfield,6
Festy Ebosele,Right Midfield,2
David Pejičić,Attacking Midfield,79
Florian Thauvin,Right Winger,26
Lorenzo Lucca,Centre-Forward,17
Brenner,Centre-Forward,22
Isaac Success,Centre-Forward,7
Keinan Davis,Centre-Forward,9
Gerard Deulofeu,Centre-Forward,10
Michele Di Gregorio,Goalkeeper,16
Alessandro Sorrentino,Goalkeeper,23
Stefano Gori,Goalkeeper,66
Pablo Marí,Centre-Back,22
Andrea Carboni,Centre-Back,44
