name,position,shirt_no
Evan Ferguson,Centre-Forward,28
João Pedro,Centre-Forward,9
Danny Welbeck,Centre-Forward,18
Alphonse Areola,Goalkeeper,23
Lukasz Fabianski,Goalkeeper,1
Joseph Anang,Goalkeeper,49
Nayef Aguerd,Centre-Back,27
Kurt Zouma,Centre-Back,4
Konstantinos Mavropanos,Centre-Back,15
Angelo Ogbonna,Centre-Back,21
Emerson Palmieri,Left-Back,33
Aaron Cresswell,Left-Back,3
Vladimir Coufal,Right-Back,5
Ben Johnson,Right-Back,2
Edson Álvarez,Defensive Midfield,19
Tomas Soucek,Defensive Midfield,28
Kalvin Phillips,Defensive Midfield,11
James Ward-Prowse,Central Midfield,7
Lucas Paquetá,Attacking Midfield,10
Mohammed Kudus,Attacking Midfield,14
Maxwel Cornet,Left Winger,17
Jarrod Bowen,Right Winger,20
Danny Ings,Centre-Forward,18
Michail Antonio,Centre-Forward,9
Divin Mubama,Centre-Forward,45
Mark Flekken,Goalkeeper,1
Thomas Strakosha,Goalkeeper,21
Hákon Rafn Valdimarsson,Goalkeeper,-
Ellery Balcombe,Goalkeeper,40
Nathan Collins,Centre-Back,22
Ethan Pinnock,Centre-Back,5
Kristoffer Ajer,Centre-Back,20
Zanka,Centre-Back,13
Ben Mee,Centre-Back,16
Rico Henry,Left-Back,3
Sergio Reguilón,Left-Back,12
Aaron Hickey,Right-Back,2
Mads Roerslev,Right-Back,30
Vitaly Janelt,Defensive Midfield,27
Christian Nørgaard,Defensive Midfield,6
Yunus Emre Konak,Defensive Midfield,-
Mathias Jensen,Central Midfield,8
Josh Dasilva,Central Midfield,10
Frank Onyeka,Central Midfield,15
Shandon Baptiste,Central Midfield,26
Ryan Trevitt,Central Midfield,-
Yegor Yarmolyuk,Attacking Midfield,33
Saman Ghoddos,Attacking Midfield,14
Yoane Wissa,Left Winger,11
Keane Lewis-Potter,Left Winger,23
Mikkel Damsgaard,Left Winger,24
Bryan Mbeumo,Right Winger,19
Kevin Schade,Right Winger,9
Ivan Toney,Centre-Forward,17
Neal Maupay,Centre-Forward,7
Sam Johnstone,Goalkeeper,1
Dean Henderson,Goalkeeper,30
Joe Whitworth,Goalkeeper,41
Remi Matthews,Goalkeeper,31
Marc Guéhi,Centre-Back,6
Joachim Andersen,Centre-Back,16
Chris Richards,Centre-Back,26
Rob Holding,Centre-Back,4
Nathan Ferguson,Centre-Back,36
James Tomkins,Centre-Back,5
Tyrick Mitchell,Left-Back,3
Daniel Muñoz,Right-Back,12
Nathaniel Clyne,Right-Back,17
Joel Ward,Right-Back,2
Cheick Doucouré,Defensive Midfield,28
Jefferson Lerma,Defensive Midfield,8
Jairo Riedewald,Defensive Midfield,44
Adam Wharton,Central Midfield,20
Will Hughes,Central Midfield,19
Naouirou Ahamada,Central Midfield,29
Jeffrey Schlupp,Left Midfield,15
Eberechi Eze,Attacking Midfield,10
Matheus França,Attacking Midfield,11
Michael Olise,Right Winger,7
Jesurun Rak-Sakyi,Right Winger,49
Odsonne Edouard,Centre-Forward,22
Jean-Philippe Mateta,Centre-Forward,14
Jordan Ayew,Centre-Forward,9
Matt Turner,Goalkeeper,1
Odysseas Vlachodimos,Goalkeeper,23
Matz Sels,Goalkeeper,26
Wayne Hennessey,Goalkeeper,13
Murillo,Centre-Back,40
Moussa Niakhaté,Centre-Back,19
Andrew Omobamidele,Centre-Back,32
Willy Boly,Centre-Back,30
Felipe,Centre-Back,18
Nuno Tavares,Left-Back,3
Harry Toffolo,Left-Back,15
Neco Williams,Right-Back,7
Gonzalo Montiel,Right-Back,29
Ola Aina,Right-Back,43
Ibrahim Sangaré,Defensive Midfield,6
Cheikhou Kouyaté,Defensive Midfield,8
Danilo,Central Midfield,28
Nicolás Domínguez,Central Midfield,16
Ryan Yates,Central Midfield,22
Harry Arter,Central Midfield,-
Morgan Gibbs-White,Attacking Midfield,10
Giovanni Reyna,Attacking Midfield,20
Anthony Elanga,Left Winger,21
Callum Hudson-Odoi,Left Winger,14
Taiwo Awoniyi,Centre-Forward,9
Chris Wood,Centre-Forward,11
Divock Origi,Centre-Forward,27
Rodrigo Ribeiro,Centre-Forward,37
Mark Travers,Goalkeeper,42
Andrei Radu,Goalkeeper,20
Neto,Goalkeeper,1
Darren Randolph,Goalkeeper,12
Ilya Zabarnyi,Centre-Back,27
Marcos Senesi,Centre-Back,25
Lloyd Kelly,Centre-Back,5
Chris Mepham,Centre-Back,6
James Hill,Centre-Back,23
Milos Kerkez,Left-Back,3
Max Aarons,Right-Back,37
Ryan Fredericks,Right-Back,2
Adam Smith,Right-Back,15
Tyler Adams,Defensive Midfield,18
Philip Billing,Central Midfield,29
Alex Scott,Central Midfield,14
Lewis Cook,Central Midfield,4
Romain Faivre,Right Midfield,8
Ryan Christie,Attacking Midfield,10
Marcus Tavernier,Left Winger,16
Luis Sinisterra,Left Winger,17
Justin Kluivert,Left Winger,19
Dango Ouattara,Right Winger,11
Antoine Semenyo,Right Winger,24
Dominic Solanke,Centre-Forward,9
Enes Ünal,Centre-Forward,26
Jordan Pickford,Goalkeeper,1
João Virgínia,Goalkeeper,12
Andy Lonergan,Goalkeeper,31
Jarrad Branthwaite,Centre-Back,32
James Tarkowski,Centre-Back,6
Ben Godfrey,Centre-Back,22
Michael Keane,Centre-Back,5
Vitaliy Mykolenko,Left-Back,19
Ashley Young,Left-Back,18
Nathan Patterson,Right-Back,2
Seamus Coleman,Right-Back,23
Amadou Onana,Defensive Midfield,8
James Garner,Defensive Midfield,37
Abdoulaye Doucouré,Central Midfield,16
André Gomes,Central Midfield,21
Idrissa Gueye,Central Midfield,27
Tyler Onyango,Central Midfield,62
Dele Alli,Attacking Midfield,20
Dwight McNeil,Left Winger,7
Arnaut Danjuma,Left Winger,10
Lewis Dobbin,Left Winger,61
Jack Harrison,Right Winger,11
Dominic Calvert-Lewin,Centre-Forward,9
Beto,Centre-Forward,14
Chermiti,Centre-Forward,28
José Sá,Goalkeeper,1
Daniel Bentley,Goalkeeper,25
Tom King,Goalkeeper,40
Max Kilman,Centre-Back,23
Toti,Centre-Back,24
Santiago Bueno,Centre-Back,4
Craig Dawson,Centre-Back,15
Rayan Aït-Nouri,Left-Back,3
Hugo Bueno,Left-Back,17
Nélson Semedo,Right-Back,22
Matt Doherty,Right-Back,2
Mario Lemina,Defensive Midfield,5
Boubacar Traoré,Defensive Midfield,6
João Gomes,Central Midfield,8
Jean-Ricner Bellegarde,Central Midfield,27
Tommy Doyle,Central Midfield,20
Noha Lemina,Attacking Midfield,14
Enso González,Left Winger,30
Pedro Neto,Right Winger,7
Pablo Sarabia,Right Winger,21
Matheus Cunha,Centre-Forward,12
